Symbol,Fund Name,Asset Class,Mgmt Fee (%),AUM ($),Prev. Close ($),Avg Daily Vol (30D),Inception Date
EQL.U,Invesco S&P 500 Equal Weight Index ETF,Equity,-,47652300,,21241,-
EQLI,Invesco S&P 500 Equal Weight Income Advantage ETF,Equity,-,142915500,,40805,-
EQLI.F,Invesco S&P 500 Equal Weight Income Advantage ETF,Equity,-,1012500,,2162,-
EQLI.U,Invesco S&P 500 Equal Weight Income Advantage ETF,Equity,-,1043000,,204,-
EQLT,Invesco S&P/TSX 60 Equal Weight Index ETF,Equity,-,22312500,,14401,-
EQY,Franklin All-Equity ETF,Asset Allocation,-,3960000,,136,-
ESG,Invesco S&P 500 ESG Index ETF,Equity,-,530970000.00000006,,27610,-
ESG.F,Invesco S&P 500 ESG Index ETF,Equity,-,99450000,,8296,-
ESGA,BMO MSCI Canada Selection Equity Index ETF,Equity,-,181146840,,22228,-
ESGB,BMO ESG Corporate Bond Index ETF,Fixed Income,-,84056000,,11208,-
ESGC,Invesco S&P/TSX Composite ESG Index ETF,Equity,-,105867000,,17488,-
ESGE,BMO MSCI EAFE Selection Equity Index ETF,Equity,-,114092964.00000001,,6488,-
ESGF,BMO ESG US Corporate Bond Hedged to CAD Index ETF,Fixed Income,-,26865920,,997,-
ESGG,BMO MSCI Global Selection Equity Index ETF,Equity,-,47743200,,3242,-
ESGY,BMO MSCI USA Selection Equity Index ETF,Equity,-,166603250,,3203,-
ESGY.F,BMO MSCI USA Selection Equity Index ETF,Equity,-,7524000,,458,-
ESPX,Evolve S&P 500® Enhanced Yield Fund,Equity,-,136246500,,25646,-
ESPX.B,Evolve S&P 500® Enhanced Yield Fund,Equity,-,3412500,,289,-
ESPX.U,Evolve S&P 500® Enhanced Yield Fund,Equity,-,8925000,,804,-
ETC,Evolve Cryptocurrencies ETF,Cryptocurrency,-,54101760,,54029,-
ETC.U,Evolve Cryptocurrencies ETF,Cryptocurrency,-,1306914,,1516,-
ETHH,Purpose Ether ETF,Cryptocurrency,-,102289000,,432451,-
ETHH.B,Purpose Ether ETF,Cryptocurrency,-,171622676.05,,373223,-
ETHH.F,Purpose Ether ETF,Cryptocurrency,-,-,,-,-
ETHH.U,Purpose Ether ETF,Cryptocurrency,-,18996250,,6742,-
ETHH.V,Purpose Ether ETF,Cryptocurrency,-,-,,-,-
ETHI,Global X Global Sustainability Leaders Index ETF,Equity,-,92194986.12,,4197,-
ETHO.B,Purpose Core Ether ETF,Cryptocurrency,-,28966500,,19955,-
ETHO.U,Purpose Core Ether ETF,Cryptocurrency,-,740500,,544,-
ETHQ,3iQ Ether Staking ETF,Cryptocurrency,-,71826079.5,,29364,-
ETHQ.U,3iQ Ether Staking ETF,Cryptocurrency,-,53014487.25,,22692,-
ETHR,Evolve Ether ETF,Cryptocurrency,-,45987830,,177648,-
ETHR.U,Evolve Ether ETF,Cryptocurrency,-,2478142,,672,-
ETHX,CI Galaxy Ethereum ETF,Cryptocurrency,-,6100000,,26349,-
ETHX.B,CI Galaxy Ethereum ETF,Cryptocurrency,-,343602179.99999994,,1009773,-
ETHX.U,CI Galaxy Ethereum ETF,Cryptocurrency,-,55188000,,110378,-
ETHY,Purpose Ether Yield ETF,Cryptocurrency,-,53126250,,767724,-
ETHY.B,Purpose Ether Yield ETF,Cryptocurrency,-,12555000,,80080,-
ETHY.U,Purpose Ether Yield ETF,Cryptocurrency,-,1413000,,18185,-
ETP,First Trust Global Risk Managed Income Index ETF,Asset Allocation,-,15023214.360000001,,239,-
ETSX,Evolve S&P/TSX 60 Enhanced Yield Fund,Equity,-,107505000,,25491,-
EVO,Evovest Global Equity ETF,Equity,-,215754000,,34940,-
FAUS,Fidelity Advanced U.S. Equity Fund,Equity,-,2153050,,780,-
FAUS.U,Fidelity Advanced U.S. Equity Fund,Equity,-,1572500,,192,-
FBGO,Franklin Brandywine Global Income Optimiser Fund,Fixed Income,-,26753000.000000004,,4759,-
FBT,First Trust NYSE Arca Biotechnology ETF,Equity,-,3052800,,1164,-
FBT.F,First Trust NYSE Arca Biotechnology ETF - Hedged Units,-,-,-,,-,-
FBTC,Fidelity Advantage Bitcoin ETF,Cryptocurrency,-,1170437500,,550318,-
FBTC.U,Fidelity Advantage Bitcoin ETF,Cryptocurrency,-,866891250,,9602,-
FCAB,Fidelity Absolute Income Fund,Fixed Income,-,638352325,,57340,-
FCAB.U,Fidelity Absolute Income Fund,Fixed Income,-,467378725,,2072,-
FCAE,Fidelity American Equity Fund,Equity,-,977999.9999999999,,1468,-
FCCD,Fidelity Canadian High Dividend ETF,Equity,-,338158500,,31298,-
FCCQ,Fidelity Canadian High Quality ETF,Equity,-,840992000,,51801,-
FCCV,Fidelity Canadian Value ETF,Equity,-,936144000.0000001,,265688,-
FCGI,Fidelity Global Monthly High Income ETF,Asset Allocation,-,43848000,,8076,-
FCID,Fidelity International High Dividend ETF,Equity,-,283777000,,90276,-
FCII,Franklin ClearBridge Global Infrastructure Income Fund,Equity,-,20670000,,4217,-
FCIQ,Fidelity International High Quality ETF,Equity,-,1511820500,,114383,-
FCIQ.U,Fidelity International High Quality ETF,Equity,-,1112265500,,9469,-
FCIV,Fidelity International Value ETF,Equity,-,1788886500,,355765,-
FCMI,Fidelity Canadian Monthly High Income ETF,Asset Allocation,-,15100000,,5027,-
FCQH,Fidelity U.S. High Quality Currency Neutral ETF,Equity,-,68006250,,11443,-
FCRC,Franklin Canadian Core Equity Fund,Equity,-,1272500,,336,-
FCRI,Franklin International Core Equity Fund,Equity,-,8996000,,15173,-
FCRR,Fidelity U.S. Dividend for Rising Rates ETF,Equity,-,36685000,,2123,-
FCRR.U,Fidelity U.S. Dividend for Rising Rates ETF,Equity,-,27731250,,236,-
FCRU,Franklin U.S. Core Equity Fund,Equity,-,2244000,,729,-
FCSI,Franklin ClearBridge International Growth Fund,Equity,-,6532500,,386,-
FCUB,Fidelity Core U.S. Bond ETF,Fixed Income,-,242505000,,28368,-
FCUB.U,Fidelity Core U.S. Bond ETF,Fixed Income,-,178027200,,5214,-
FCUD,Fidelity U.S. High Dividend ETF,Equity,-,247799250,,14872,-
FCUD.U,Fidelity U.S. High Dividend ETF,Equity,-,183404250,,1259,-
FCUH,Fidelity U.S. High Dividend Currency Neutral ETF,Equity,-,31878000,,6421,-
FCUQ,Fidelity U.S. High Quality ETF,Equity,-,1980037500,,74845,-
FCUQ.U,Fidelity U.S. High Quality ETF,Equity,-,1462548000,,291,-
FCUV,Fidelity U.S. Value ETF,Equity,-,2646270000,,470511,-
FCUV.U,Fidelity U.S. Value ETF,Equity,-,1982475000,,20519,-
FCVH,Fidelity U.S. Value Currency Neutral ETF,Equity,-,285735000,,119214,-
FDL,First Trust Morningstar Dividend Leaders ETF (CAD-Hedged),Equity,-,11855200,,385,-
FDN,First Trust Dow Jones Internet ETF,Equity,-,5709900,,1254,-
FDN.F,First Trust Dow Jones Internet ETF,Equity,-,739599.9999999999,,129,-
FEBB.F,First Trust Vest U.S. Equity Buffer ETF - February,Equity,-,52600000,,2154,-
FETH,Fidelity Advantage Ether ETF,Cryptocurrency,-,58613600,,20725,-
FETH.U,Fidelity Advantage Ether ETF,Cryptocurrency,-,43197600,,2528,-
FGBL,Forstrong Global Balanced ETF,Asset Allocation,-,1684500,,63,-
FGEB,Fidelity Global Equity+ Balanced Fund,Asset Allocation,-,22176900,,9275,-
FGEP,Fidelity Global Equity+ Fund,Equity,-,247345500,,132095,-
FGEP.U,Fidelity Global Equity+ Fund,Equity,-,183716100,,9628,-
FGGE,Franklin Global Growth Fund,Equity,-,11615000,,4408,-
FGO,CI Enhanced Government Bond ETF,Fixed Income,-,697172476,,826021,-
FGO.U,CI Enhanced Government Bond ETF,Fixed Income,-,12363717.5,,2835,-
FGOV,Franklin Canadian Government Bond Fund,Fixed Income,-,9324000,,1940,-
FGRW,Forstrong Global Growth ETF,Equity,-,2598000,,648,-
FGSM,Fidelity Global Small-Mid Cap Equity Fund,Equity,-,1007000,,1303,-
FHG,First Trust AlphaDEX U.S. Industrials Sector Index ETF,Equity,-,51476000,,3070,-
FHG.F,First Trust AlphaDEX U.S. Industrials Sector Index ETF,Equity,-,1850000,,10,-
FHH,First Trust AlphaDEX U.S. Health Care Sector Index ETF,Equity,-,6244500,,245,-
FHH.F,First Trust AlphaDEX U.S. Health Care Sector Index ETF,Equity,-,3017000,,17,-
FHI,CI Health Care Giants Covered Call ETF,Equity,-,107217250,,22495,-
FHI.B,CI Health Care Giants Covered Call ETF,Equity,-,4501000,,2236,-
FHI.U,CI Health Care Giants Covered Call ETF,Equity,-,2380000,,1122,-
FHIS,Franklin Canadian Ultra Short Term Bond Fund,Fixed Income,-,321860000,,143716,-
FHQ,First Trust AlphaDEX U.S. Technology Sector Index ETF,Equity,-,21032000,,724,-
FHQ.F,First Trust AlphaDEX U.S. Technology Sector Index ETF,Equity,-,5574000,,111,-
FIE,iShares Canadian Financial Monthly Income ETF,Asset Allocation,-,1253381250,,365456,-
FIG,CI Investment Grade Bond ETF,Fixed Income,-,138152459.12,,57919,-
FIG.U,CI Investment Grade Bond ETF,Fixed Income,-,5093790,,2015,-
FINC,Forstrong Global Income ETF,Equity,-,17522750,,913,-
FINO,Franklin Innovation Fund,Equity,-,7017500,,1059,-
FINT,First Trust International Capital Strength ETF,Equity,-,17320000,,4966,-
FLCI,Franklin Canadian Corporate Bond Fund,Fixed Income,-,66970000.00000001,,7552,-
FLCP,Franklin Canadian Core Plus Bond Fund,Fixed Income,-,120198000.00000001,,25680,-
FLGA,Franklin Global Core Bond Fund,Fixed Income,-,401940000,,42685,-
FLI,CI U.S. & Canada Lifeco Covered Call ETF,Equity,-,85602861.2,,68574,-
FLOT,Purpose Floating Rate Income Fund - ETF,-,-,-,,-,-
FLOT.B,Purpose Floating Rate Income Fund - ETF Non-currency hedged CAD,-,-,-,,-,-
FLOT.U,Purpose Floating Rate Income Fund - ETF Non-currency hedged USD,-,-,-,,-,-
FLSD,Franklin Canadian Short Term Bond Fund,Fixed Income,-,70664000,,13377,-
FLSE,Fidelity Global Opportunities Long/Short Fund,Equity,-,1939999.9999999998,,8343,-
FLUS,Franklin U.S. Large Cap Multifactor Index ETF,Equity,-,108860000,,4746,-
FLX,Purpose Global Flexible Credit Fund,Fixed Income,-,18581360,,6059,-
FLX.B,Purpose Global Flexible Credit Fund,Fixed Income,-,3798000,,8818,-
FLX.U,Purpose Global Flexible Credit Fund,Fixed Income,-,7350005.54,,632,-
FMAE,Fidelity Multi-Alt Equity Fund,Equity,-,44433400,,91460,-
FMAX,Hamilton U.S. Financials YIELD MAXIMIZER TM ETF,Equity,-,141804454.75,,63007,-
FMPB,Fidelity Global Balanced Portfolio,Asset Allocation,-,5177700,,3372,-
FMPG,Fidelity Global Growth Portfolio,Asset Allocation,-,1367080,,1365,-
FMPI,Fidelity Global Income Portfolio,Asset Allocation,-,1040400.0000000001,,669,-
FPR,CI Preferred Share ETF,Preferred Share,-,57339292.12,,1150,-
FSB,CI Enhanced Short Duration Bond Fund,Fixed Income,-,236120013.99999997,,108496,-
FSB.U,CI Enhanced Short Duration Bond Fund,Fixed Income,-,8068973,,31004,-
FSF,CI Global Financial Sector ETF,Equity,-,87082713.17999999,,6580,-
FSL,First Trust Senior Loan ETF (CAD-Hedged),Fixed Income,-,57163877.64,,23522,-
FST,First Trust Canadian Capital Strength ETF,Equity,-,207946861.5,,8147,-
FTHI,Fidelity Tactical High Income Fund,Asset Allocation,-,52377000,,53566,-
FTLS,First Trust Long/Short Equity ETF,Alternative,-,8544000,,9097,-
FUD,First Trust Value Line Dividend Index ETF (CAD-Hedged),Equity,-,5848505.51,,93,-
FXM,CI Morningstar Canada Value Index ETF,Equity,-,471554799.2,,47109,-
GASD,SavvyShort Geared Natural Gas ETF,Leverage/Inverse,-,3298750,,9930,-
GASU,SavvyLong Geared Natural Gas ETF,Leverage/Inverse,-,3211000.0000000005,,5631,-
GBAL,iShares ESG Balanced ETF Portfolio,Asset Allocation,-,212598000,,15653,-
GBSL,Ninepoint Global Select Fund,Alternative,-,6807500,,4724,-
GBUL,Ninepoint Gold Bullion Fund,Commodity,-,1521500,,4612,-
GCBD,Guardian Canadian Bond Fund,Fixed Income,-,48735757.53,,20995,-
GCFE,Guardian Canadian Focused Equity Fund,Equity,-,22570000,,13977,-
GCNS,iShares ESG Conservative Balanced ETF Portfolio,Asset Allocation,-,65394000,,7089,-
GCSC,Guardian Canadian Diversified Core Equity Fund,Equity,-,18056500,,1176,-
GCTB,Guardian Ultra-Short Canadian T-Bill Fund,Cash/Currency,-,252651500,,90460,-
GDEP,Guardian Directed Equity Path Portfolio,Equity,-,8235000,,2440,-
GDEP.B,Guardian Directed Equity Path Portfolio,Equity,-,11214000,,41,-
GDPY,Guardian Directed Premium Yield Portfolio,Equity,-,27688499.999999996,,16949,-
GDPY.B,Guardian Directed Premium Yield Portfolio,Equity,-,32959499.999999996,,15154,-
GDXD,BetaPro Canadian Gold Miners -2x Daily Bear ETF,Leverage/Inverse,-,21048910.049999997,,1244332,-
GDXU,BetaPro Canadian Gold Miners 2x Daily Bull ETF,Leverage/Inverse,-,382835062.5,,260820,-
GEQT,iShares ESG Equity ETF Portfolio,Asset Allocation,-,210104499.99999997,,13378,-
GGRO,iShares ESG Growth ETF Portfolio,Asset Allocation,-,217503000,,10838,-
GIDY,Guardian i3 Global Dividend Premium Yield Fund,Equity,-,49833000,,28963,-
GIES,Guardian International Equity Select Fund,Equity,-,4833000,,16474,-
GIGC,Guardian Investment Grade Corporate Bond Fund,Fixed Income,-,18463200,,393,-
GIQG,Guardian i3 Global Quality Growth ETF,Equity,-,7330500,,3342,-
GIQG.B,Guardian i3 Global Quality Growth ETF,Equity,-,44994750,,2002,-
GIQU,Guardian i3 US Quality Growth Fund,Equity,-,4401250,,125,-
GIQU.B,Guardian i3 US Quality Growth Fund,Equity,-,16230749.999999998,,362,-
GLCC,Global X Gold Producer Equity Covered Call ETF,Equity,-,674716260.9399999,,125722,-
GLCL,Global X Enhanced Gold Producer Equity Covered Call ETF,Equity,-,23568528.72,,11885,-
GLDD,BetaPro Gold Bullion -2x Daily Bear ETF,Leverage/Inverse,-,4134664.08,,391450,-
GLDE,Ninepoint Gold and Precious Minerals Fund,Equity,-,20092300,,14893,-
GLDU,BetaPro Gold Bullion 2x Daily Bull ETF,Leverage/Inverse,-,79820382.6,,381865,-
GLDX,Global X Gold Producers Index ETF,Equity,-,271952469.59999996,,79495,-
GOGY,Harvest Alphabet Enhanced High Income Shares ETF,Single Stock ETF,-,97979999.99999999,,33475,-
GRCC,Global X Growth Asset Allocation Covered Call ETF,Asset Allocation,-,16064985.809999999,,16927,-
GRO,Franklin Growth ETF Portfolio,Asset Allocation,-,1280000,,64,-
GTRI,IA Clarington Agile Global Total Return Income Fund,Fixed Income,-,126187200,,168054,-
GUTB.U,Guardian Ultra-Short U.S. T-Bill Fund,Cash/Currency,-,29517700,,2639,-
HAB,Global X Active Corporate Bond ETF,Fixed Income,-,295480614.26,,73665,-
HAC,Global X Seasonal Rotation ETF,Alternative,-,155023880.9,,6470,-
HAD,Global X Active Canadian Bond ETF,Fixed Income,-,43665839.67999999,,7301,-
HAF,Global X Active Global Fixed Income ETF,Fixed Income,-,64272515.800000004,,25988,-
HAL,Global X Active Canadian Dividend ETF,Equity,-,120002304.96000001,,8748,-
HALO,Russell Investments Fallen Angels ETF,Fixed Income,-,17982000,,14266,-
HAZ,Global X Active Global Dividend ETF,Equity,-,517666782.68999994,,36267,-
HBA,Hamilton Australian Bank Equal-Weight Index ETF,Equity,-,139168427.94,,8975,-
HBAL,Global X Balanced Asset Allocation ETF,Asset Allocation,-,166552158.15,,28888,-
HBB,Global X Canadian Select Universe Bond Index Corporate Class ETF,Fixed Income,-,3593008244.7,,171764,-
HBF,Harvest Brand Leaders Plus Income ETF,Equity,-,513616482.48,,92695,-
HBF.B,Harvest Brand Leaders Plus Income ETF,Equity,-,32562000,,5911,-
HBF.U,Harvest Brand Leaders Plus Income ETF,Equity,-,37691659.5,,6433,-
HBGD,Global X Big Data & Hardware Index ETF,Equity,-,35311910.4,,5183,-
HBGD.U,Global X Big Data & Hardware Index ETF,Equity,-,25957526.400000002,,639,-
HBIE,Harvest Balanced Income & Growth Enhanced ETF,Asset Allocation,-,12765500,,5422,-
HBIG,Harvest Balanced Income & Growth ETF,Asset Allocation,-,10651500,,3486,-
HBIL,Hamilton U.S. T-Bill YIELD MAXIMIZER TM ETF,Fixed Income,-,221184883.84,,142463,-
HBIL.U,Hamilton U.S. T-Bill YIELD MAXIMIZER TM ETF,Fixed Income,-,29587714.64,,22962,-
HBLK,Blockchain Technologies ETF,Equity,-,19785600,,2994,-
HBND,Hamilton U.S. Bond YIELD MAXIMIZER TM ETF,Equity,-,180248082.56,,117718,-
HBND.U,Hamilton U.S. Bond YIELD MAXIMIZER TM ETF,Equity,-,12823553.12,,6502,-
HBNK,Global X Equal Weight Canadian Banks Index ETF,Equity,-,969461007.48,,326403,-
HCA,Hamilton Canadian Bank Mean Reversion Index ETF,Equity,-,85033054.11999999,,6257,-
HCAL,Hamilton Enhanced Canadian Bank ETF,Equity,-,814094945.58,,190806,-
HCLN,Harvest Clean Energy ETF,Equity,-,19656000,,16469,-
HCON,Global X Conservative Asset Allocation ETF,Asset Allocation,-,34061555.5,,8110,-
HCRE,Global X Equal Weight Canadian REITs Index Corporate Class ETF,Equity,-,48612078,,3595,-
HDGE,Accelerate Absolute Return Fund,Alternative,-,41834500,,3907,-
HDGE.U,Accelerate Absolute Return Fund,Alternative,-,32131500,,9,-
HDIF,Harvest Diversified Monthly Income ETF,Equity,-,468884624.99999994,,288585,-
HDIV,Hamilton Enhanced Canadian Covered Call ETF,Equity,-,1353542747.2,,708079,-
HEB,Hamilton Canadian Bank Equal-Weight Index ETF,Equity,-,1088459511.36,,44715,-
HEQL,Global X Enhanced All-Equity Asset Allocation ETF,Equity,-,17351352.48,,27846,-
HEQT,Global X All-Equity Asset Allocation ETF,Equity,-,324970670.4,,56418,-
HERO,Evolve E-Gaming Index ETF,Equity,-,14373750,,5470,-
HEWB,Global X Equal Weight Canadian Banks Index Corporate Class ETF,Equity,-,252389140.8,,12156,-
HFG,Hamilton Global Financials ETF,Equity,-,58419064.48,,4093,-
HFIN,Hamilton Enhanced Canadian Financials ETF,Equity,-,333108759.75,,19522,-
HFN,HAMILTON CHAMPIONS TM Canadian Financials Index ETF,Equity,-,200753993.4,,42268,-
HFR,Global X Active Ultra-Short Term Investment Grade Bond ETF,Fixed Income,-,550256878.08,,238332,-
HGGG,Harvest Global Gold Giants Index ETF,Equity,-,66306250,,5540,-
HGR,Harvest Global REIT Leaders Income ETF,Equity,-,32623500,,82953,-
HGRW,Global X Growth Asset Allocation ETF,Asset Allocation,-,32947995.96,,1582,-
HGY,Global X Gold Yield ETF,Commodity,-,239476737.25,,116447,-
HHIC,Harvest Canadian High Income Shares ETF,Single Stock ETF,-,167769750,,199870,-
HHIH,Harvest High Income Equity Shares ETF,Equity,-,79589750,,78216,-
HHIS,Harvest Diversified High Income Shares ETF,Single Stock ETF,-,1221099250,,1666475,-
HHIS.U,Harvest Diversified High Income Shares ETF,Single Stock ETF,-,24206000,,36896,-
HHL,Harvest Healthcare Leaders Income ETF,Equity,-,1609661058.49,,1036476,-
HHL.B,Harvest Healthcare Leaders Income ETF,Equity,-,14195625,,9859,-
HHL.U,Harvest Healthcare Leaders Income ETF,Equity,-,107262000,,26154,-
HHLE,Harvest Healthcare Leaders Enhanced Income ETF,Equity,-,90915000,,117159,-
HIG,Brompton Global Healthcare Income & Growth ETF,Equity,-,63461296.53,,16512,-
HIG.U,Brompton Global Healthcare Income & Growth ETF,Equity,-,741675,,917,-
HIND,Harvest Industrial Leaders Income ETF,Equity,-,81972000,,28015,-
HISU.U,US High Interest Savings Account Fund,Cash/Currency,-,575632500,,433306,-
HLIF,Harvest Canadian Equity Income Leaders ETF,Equity,-,150272000,,45798,-
HLIT,Global X Lithium Producers Index ETF,Equity,-,21913280,,11419,-
HLPR,Global X Laddered Canadian Preferred Share Index Corporate Class ETF,Preferred Share,-,114396683.94,,6036,-
HMAX,Hamilton Canadian Financials YIELD MAXIMIZER TM ETF,Equity,-,2034848421.32,,1064186,-
HMMJ,Global X Marijuana Life Sciences Index ETF,Equity,-,43934158.62,,17725,-
HMMJ.U,Global X Marijuana Life Sciences Index ETF,Equity,-,33162422.76,,55,-
HMP,Global X Active Canadian Municipal Bond ETF,Fixed Income,-,66344341.160000004,,130403,-
HND,BetaPro Natural Gas Inverse Leveraged Daily Bear ETF,Leverage/Inverse,-,111338692.32000001,,17197331,-
HNU,BetaPro Natural Gas Leveraged Daily Bull ETF,Leverage/Inverse,-,213175658.25,,4967981,-
HOD,BetaPro Crude Oil Inverse Leveraged Daily Bear ETF,Leverage/Inverse,-,35997750,,5870124,-
HODY,Harvest Robinhood Enhanced High Income Shares ETF,Single Stock ETF,-,33450000,,85985,-
HOU,BetaPro Crude Oil Leveraged Daily Bull ETF,Leverage/Inverse,-,151550740.7,,2128602,-
HPF,Harvest Energy Leaders Plus Income ETF,Equity,-,63086721.02,,75024,-
HPF.U,Harvest Energy Leaders Plus Income ETF,Equity,-,2557111.1999999997,,3385,-
HPR,Global X Active Preferred Share ETF,Preferred Share,-,923138065.5,,179955,-
HPYB,Harvest Premium Yield Canadian Bank ETF,Equity,-,15430999.999999998,,61614,-
HPYE,Harvest Premium Yield Enhanced ETF,Equity,-,20750250,,79335,-
HPYM,Harvest Premium Yield 7-10 Year Treasury ETF,Fixed Income,-,254299499.99999997,,153698,-
HPYM.U,Harvest Premium Yield 7-10 Year Treasury ETF,Fixed Income,-,12523500,,5229,-
HPYT,Harvest Premium Yield Treasury ETF,Fixed Income,-,397424000,,392802,-
HPYT.B,Harvest Premium Yield Treasury ETF,Fixed Income,-,9357875,,10876,-
HPYT.U,Harvest Premium Yield Treasury ETF,Fixed Income,-,21090000,,26346,-
HRIF,Harvest Diversified Equity Income ETF,Equity,-,23868750,,6903,-
HRMS,Hermès CDR (CAD Hedged),-,-,1224500,,76,-
HSAV,Global X Cash Maximizer Corporate Class ETF,Cash/Currency,-,1923243750,,78159,-
HSH,Global X S&P 500 CAD Hedged Index Corporate Class ETF,Equity,-,312558229.4,,23807,-
HSUV.U,Global X USD Cash Maximizer Corporate Class ETF,Cash/Currency,-,762583500,,28641,-
HTA,Harvest Tech Achievers Growth & Income ETF,Equity,-,673626418.74,,150801,-
HTA.B,Harvest Tech Achievers Growth & Income ETF,Equity,-,5760000,,2444,-
HTA.U,Harvest Tech Achievers Growth & Income ETF,Equity,-,35210000,,3938,-
HTAE,Harvest Tech Achievers Enhanced Income ETF,Equity,-,80340000,,48831,-
HTB,Global X US 7-10 Year Treasury Bond Index Corporate Class ETF,Fixed Income,-,168397914.85,,9448,-
HTB.U,Global X US 7-10 Year Treasury Bond Index Corporate Class ETF,Fixed Income,-,124304944.9,,1604,-
HTTD,BetaPro US 30-Year T-Bond -3x Daily Bear ETF,Leverage/Inverse,-,-,,-,-
HTTU,BetaPro US 30-Year T-Bond 3x Daily Bull ETF,Leverage/Inverse,-,-,,-,-
HUBL,Harvest US Bank Leaders Income ETF,Equity,-,102556250,,43105,-
HUBL.U,Harvest US Bank Leaders Income ETF,Equity,-,12097500,,4866,-
HUC,Global X Crude Oil ETF,Commodity,-,46065381.6,,103240,-
HUG,Global X Gold ETF,Commodity,-,71245520,,39194,-
HULC,Global X US Large Cap Index Corporate Class ETF,Equity,-,564596430,,18619,-
HULC.U,Global X US Large Cap Index Corporate Class ETF,Equity,-,417049236,,2767,-
HUM,Hamilton U.S. Mid-Cap Financials ETF,Equity,-,28852910.28,,1528,-
HUN,Global X Natural Gas ETF,Commodity,-,8977639,,31338,-
HURA,Global X Uranium Index ETF,Equity,-,196900450,,48950,-
HUS,Hamilton US Financials Dividend Index ETF - CDN$ Hedged Units,Equity,-,-,,-,-
HUTE,Harvest Equal Weight Global Utilities Enhanced Income ETF,Equity,-,92263500,,62327,-
HUTL,Harvest Equal Weight Global Utilities Income ETF,Equity,-,496193749.99999994,,146964,-
HUTS,Hamilton Enhanced Utilities ETF,Equity,-,212916951.51999998,,47520,-
HUZ,Global X Silver ETF,Commodity,-,70044750,,329296,-
HVOI,Harvest Low Volatility Canadian Equity Income ETF,Equity,-,56855000,,13874,-
HVOL,Harvest Low Volatility Canadian Equity ETF,Equity,-,5131000,,22495,-
HXCN,Global X S&P/TSX Capped Composite Index Corporate Class ETF,Equity,-,2146010503,,76890,-
HXDM,Global X Intl Developed Markets Equity Index Corporate Class ETF,Equity,-,995723553.3000001,,63110,-
HXDM.U,Global X Intl Developed Markets Equity Index Corporate Class ETF,Equity,-,732974837.7,,10740,-
HXE,Global X S&P/TSX Capped Energy Index Corporate Class ETF,Equity,-,111852317.5,,15579,-
HXEM,Global X Emerging Markets Equity Index Corporate Class ETF,Equity,-,146731482.70000002,,26051,-
HXF,Global X S&P/TSX Capped Financials Index Corporate Class ETF,Equity,-,105629791.39999999,,1416,-
HXH,Global X Canadian High Dividend Index Corporate Class ETF,Equity,-,210232599.29999998,,7385,-
HXQ,Global X Nasdaq-100 Index Corporate Class ETF,Equity,-,1319821692.8,,95663,-
HXQ.U,Global X Nasdaq-100 Index Corporate Class ETF,Equity,-,972745779.1999999,,46420,-
HXS,Global X S&P 500 Index Corporate Class ETF,Equity,-,5666926349.64,,171877,-
HXS.U,Global X S&P 500 Index Corporate Class ETF,Equity,-,4169640799.6400003,,14520,-
HXT,Global X S&P/TSX 60 Index Corporate Class ETF,Equity,-,4782080258.16,,873687,-
HXT.U,Global X S&P/TSX 60 Index Corporate Class ETF,Equity,-,3509160431.6400003,,3528,-
HXX,Global X Europe 50 Index Corporate Class ETF,Equity,-,179831883.6,,14426,-
HYBR,Global X Active Hybrid Bond and Preferred Share ETF,Fixed Income,-,77107388.52,,23072,-
HYLD,Hamilton Enhanced U.S. Covered Call ETF,Equity,-,978881083.0699999,,520267,-
HYLD.U,Hamilton Enhanced U.S. Covered Call ETF,Equity,-,82429217.64,,38453,-
ICAE,Invesco S&P/TSX Canadian Dividend Aristocrats ESG Index ETF,Equity,-,9905000,,1095,-
ICBB,Invesco Global Bond ETF,-,-,-,,-,-
ICCB,Invesco Canadian Core Plus Bond ETF,Fixed Income,-,25516200,,875,-
ICGB,Invesco Global Bond ETF,Fixed Income,-,85453800,,141201,-
ICPB,IA Clarington Agile Core Plus Bond Fund,Fixed Income,-,69708000,,75511,-
IDEF.B,Manulife Smart International Defensive Equity ETF,Equity,-,3757500,,452,-
IDIV.B,Manulife Smart International Dividend ETF,Equity,-,1136313750,,941213,-
IFRF,IA Clarington Loomis Floating Rate Income Fund,Fixed Income,-,1338750,,1731,-
IGAF,IA Clarington Loomis Global Allocation Fund,Asset Allocation,-,39552000,,3992,-
IGB,Purpose Global Bond Class,Fixed Income,-,354050000,,124656,-
IGB.U,Purpose Global Bond Class,Fixed Income,-,-,,-,-
IGCF,PIMCO Investment Grade Credit Fund (Canada),Fixed Income,-,14211999.999999998,,1561,-
IGEO,IA Clarington Loomis Global Equity Opportunities Fund,Equity,-,6152200.000000001,,615,-
IGET,Invesco Morningstar Global Energy Transition Index ETF,Equity,-,1034000,,1107,-
IGET.F,Invesco Morningstar Global Energy Transition Index ETF,Equity,-,1032499.9999999999,,16,-
IIAE,Invesco S&P International Developed Dividend Aristocrats ESG Index ETF,Equity,-,1556500,,343,-
IIAE.F,Invesco S&P International Developed Dividend Aristocrats ESG Index ETF,Equity,-,13194000,,31,-
IICE,Invesco S&P International Developed ESG Index ETF,Equity,-,16289000,,3372,-
IICE.F,Invesco S&P International Developed ESG Index ETF,Equity,-,4213500,,180,-
